성분,기능성 내용
파크랜 크랜베리 분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
닭가슴연골분말,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
황기추출물 등 복합물,어린이 키성장에 도움을 줄 수 있음
호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급)
참당귀 추출분말,"노화로 저하된 인지기능 개선에 도움을 줄 수 있음, 관절건강에 도움을 줄 수 있음 ,"
L-arabinose,설탕 소화흡수를 완만하게 하여 혈당조절에 도움을 줄 수 있음(생리활성기능 2등급)
비파엽추출물,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
스페인감초추출물,위 점막 내 헬리코박터균( ) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있음 .
매스틱 검,위 불편감 개선에 도움을 줄 수 있음(생리활성기능 2등급)
구기자추출물,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
발효식초석류복합물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
Lactobacillus gasseri BNR17,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
옻나무 추출분말,갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)
중쇄지방산,이 제품은 중쇄지방산을 함유하고 있어 다른 식용유와 비교하였을 때 체지방 증가가 적을 수 있음(생리활성기능 2등급)
보이차추출물,"체지방 감소에 도움을 줄 수 있음, 혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)"
옥수수배아추출물,피부보습에 도움을 줄 수 있음(생리활성기능2등급)
올리브잎주정추출물,혈압 조절에 도움을 줄 수 있음
콩․보리 발효복합물,피부 보습에 도움을 줄 수 있음 (생리활성기능 2등급)
인삼다당체추출물,면역기능 증진에 도움을 줄 수 있음 (생리활성기능 2등급)
아프리카망고 종자추출물,체지방 감소에 도움을 줄 수 있음
유단백추출물,뼈 건강에 도움을 줄 수 있음
천마 등 복합추출물,기억력 개선에 도움을 줄 수 있음
밀배유추출물,피부 보습에 도움을 줄 수 있음
L-아르기닌,혈관이완을 통해 혈행 개선에 도움을 줄 수 있음
프로바이오틱스 HY7714,"피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음 () ,"
까마귀쪽나무 열매 주정추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
까마귀쪽나무 열매 주정추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
석류추출물,갱년기 여성의 건강에 도움을 줄 수 있음 `
감태추출물,수면의 질 개선에 도움을 줄 수 있음(생리활성기능 2등급)
돌외잎추출물,스트레스로 인한 긴장완화에 도움을 줄 수 있음
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
헛개나무과병추출분말,알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음
창녕양파추출액,혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
유산균발효마늘추출분말,간건강에 도움을 줄 수 있음
오미자추출물,갱년기 여성 건강에 도움을 줄 수 있음(생리활성기능 2등급)
허니부쉬추출발효분말,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음
호로파종자 등 추출복합물,남성의 갱년기 건강에 도움을 줄 수 있음 `
Lactobacillus gasseri BNR17,체지방 감소에 도움을 줄 수 있음(생리활성기능)
키토올리고당,식후혈당 감소에 도움을 줄 수 있음
루테인지아잔틴복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
락티카제이바실러스 람노서스 아이디씨씨3201 열처리배양건조물,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
우슬 등 복합물,관절 및 연골건강에 도움을 줄 수 있음
시서스추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능)
곰피추출물,간 건강에 도움을 줄 수 있음
빌베리 추출물,눈의 피로 개선에 도움을 줄 수 있음
미강주정추출물,수면에 도움을 줄 수 있음
루테인지아잔틴복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
세리포리아 락세라타 균사체 배양물,혈당조절에 도움을 줄 수 있음
그린커피빈주정추출물,체지방 감소에 도움을 줄 수 있음
석류농축분말,"피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 ,"
오미자추출물,근력 개선에 도움을 줄 수 있음
빌베리 추출물,눈의 피로 개선에 도움을 줄 수 있음
오가피열매추출물,혈압조절에 도움을 줄 수 있음
피쉬 콜라겐펩타이드,"자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 피부보습에 도움을 줄 수 있음 ,"
쑥부쟁이추출분말,면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음
인동덩굴꽃봉오리추출물,위 점막을 보호하여 위 건강에 도움을 줄 수 있음
호로파종자추출물,갱년기 남성 건강에 도움을 줄 수 있음 `
루테인지아잔틴복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
차즈기추출물,눈의 피로도 개선에 도움을 줄 수 있음
쇠비름주정추출분말,배변활동 원활에 도움을 줄 수 있음
댕댕이나무열매,① 비알콜성 간 손상으로부터 간 건강에 도움을 줄 수 있음 ② 체지방 감소에 도움을 줄 수 있음 ① - ②
옻나무 추출분말,갱년기 남성의 건강에 도움을 줄 수 있음 `
저분자콜라겐펩타이드NS,"자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 피부보습에 도움을 줄 수 있음 ,"
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
Lactobacillus acidophilus YT1,갱년기 여성 건강에 도움을 줄 수 있음 ’
자몽추출물등 복합물,체지방 감소에 도움을 줄 수 있음
로즈마리자몽추출복합물,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
리스펙타,질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음
포도과피 효소발효추출물,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
L.plantarum IM76과 B.longum IM55 복합물,면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음
대두추출물등 복합물,갱년기 여성건강에 도움을 줄 수 있음 `
인삼,뼈 건강에 도움을 줄 수 있음
포도블루베리추출혼합분말,기억력 개선에 도움을 줄 수 있음
돈태반 발효추출물,피로 개선에 도움을 줄 수 있음
깻잎추출물,체지방 감소에 도움을 줄 수 있음
L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물,체지방 감소에 도움을 줄 수 있음
연어이리추출물,"① 관절 건강에 도움을 줄 수 있음, ② 위 점막을 보호하여 위 건강에 도움을 줄 수 있음 ① , ②"
루바브뿌리 추출물,갱년기 여성 건강에 도움을 줄 수 있음 `
스페인감초추출물,위 점막 내 헬리코박터균( ) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있음 .
상황버섯등 추출복합물,혈관이완을 통한 혈행개선에 도움을 줄 수 있음 -
우뭇가사리추출물,체지방 감소에 도움을 줄 수 있음
베타글루칸분말,면역기능 증진에 도움을 줄 수 있음
미숙여주주정추출분말,식후 혈당상승 억제에 도움을 줄 수 있음
