성분,기능성 내용
유산균발효굴추출물,어린이 키성장에 도움을 줄 수 있음
포도블루베리추출혼합분말,기억력 개선에 도움을 줄 수 있음
프로바이오틱스,기관·기관지 상태(기침·가래 등) 개선에 도움을 줄 수 있음 · (· )
털부처꽃추출물,체지방 감소에 도움을 줄 수 있음
산딸기·왕느릅나무·치자추출복합물,위 점막을 보호하여 위 건강에 도움을 줄 수 있음
블랙커민추출분말,체지방 감소에 도움을 줄 수 있음
헛개나무과병·오미자박추출복합물,간 건강에 도움을 줄 수 있음
밀배유추출물,① 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 ② 피부 보습에 도움을 줄 수 있음 ① ②
핑거루트추출물,(1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 (2) 체지방 감소에 도움을 줄 수 있음 (3) 피부보습에 도움을 줄 수 있음 (1) (2) (3)
아연,(1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
구리,(1) 철의 운반과 이용에 필요 (2) 유해산소로부터 세포를 보호하는데 필요
셀레늄,(1) 유해산소로부터 세포를 보호하는데 필요
요오드,(1) 갑상선 호르몬의 합성에 필요 (2) 에너지 생성에 필요 (3) 신경발달에 필요
망간,(1) 뼈 형성에 필요 (2) 에너지 이용에 필요 (3) 유해산소로부터 세포를 보호하는데 필요
몰리브덴,(1) 산화·환원 효소의 활성에 필요
칼륨,(1) 체내 물과 전해질 균형에 필요
크롬,"(1) 체내 탄수화물, 지방, 단백질 대사에 관여"
식이섬유,(1) 식이섬유 보충
단백질,"(1) 근육, 결합조직 등 신체조직의 구성성분 (2) 효소, 호르몬, 항체의 구성에 필요 (3) 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요 (4) 체액, 산-염기의 균형 유지에 필요 (5) 에너지, 포도당, 지질의 합성에 필요"
필수 지방산,(1) 필수지방산의 보충
인삼,(가) 면역력 증진·피로개선·뼈 건강에 도움을 줄 수 있음 (나) 간 건강에 도움을 줄 수 있음[1) (2) (다)의 제조방법에 한함]
홍삼,"(1)기능성 내용 : 면역력 증진･피로개선･혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화･갱년기 여성의 건강에 도움을 줄 수 있음 (2) 일일섭취량 (가)면역력 증진･피로개선에 도움을 줄 수 있음 : 진세노사이드 1, 1 및 3의 합계로서 3~80 (나)혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화에 도움을 줄 수 있음 : 진세노사이드 1, 1 및 3의 합계로서 2.4~80 (다)갱년기 여성의 건강에 도움을 줄 수 있음 : 진세노사이드 1, 1 및 3의 합계로서 25~80"
알로에 전잎,①배변활동 원활에 도움을 줄 수 있음
프로폴리스추출물,"(1) 기능성 내용 : 항산화 ․ 구강에서의 항균작용에 도움을 줄 수 있음 ※ 구강에서의 항균작용은 구강에 직접 접촉할 수 있는 형태에 한하며, 섭취량을 적용하지 않음"
레시틴,혈중 콜레스테롤 개선에 도움을 줄 수 있음
식물스테롤/식물스테롤에스테르,① 혈중 콜레스테롤 개선에 도움을 줄 수 있음
알콕시글리세롤 함유 상어간유,① 면역력 증진에 도움을 줄 수 있음
옥타코사놀 함유 유지,① 지구력 증진에 도움을 줄 수 있음
매실추출물,①피로 개선에 도움을 줄 수 있음
글루코사민,①관절 및 연골 건강에 도움을 줄 수 있음
뮤코다당.단백,관절 및 연골건강에 도움을 줄 수 있음
히알루론산,(1)기능성 내용 : 피부보습･자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 (2) 일일섭취량 (가) 피부보습에 도움을 줄 수 있음 : 히알루론산으로서 120∼240 (나)자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 : 히알루론산으로서 240
NAG,(1) 관절 및 연골 건강·피부보습에 도움을 줄 수 있음
폴리감마글루탐산,① 체내 칼슘흡수 촉진에 도움을 줄 수 있음
빌베리 추출물,① 눈의 피로 개선에 도움을 줄 수 있음
라피노스,(1) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음 (2) 배변활동을 원활히 하는데 도움을 줄 수 있음
분말한천,(1) 배변활동에 도움을 줄 수 있음
크레아틴,① 근력 운동 시에 운동수행능력 향상에 도움을 줄 수 있음
유단백가수분해물,① 스트레스로 인한 긴장 완화에 도움을 줄 수 있음
상황버섯추출물,① 면역기능 개선에 도움을 줄 수 있음
토마토추출물,① 항산화에 도움을 줄 수 있음
곤약감자추출물,(1) 피부 보습에 도움을 줄 수 있음
BT-11원지추출분말,성인의 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
L-글루타민,과도한 운동 후 신체저항능력 향상에 도움
칸탈로프멜론추출물,-산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다. -혈관벽 두께(내중막 두께 : ) 증가 억제를 통한 혈행개선에 도움을 줄 수 있음 -자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄 수 있음
소나무껍질추출물등복합물,햇볕 또는 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(기타기능)
가쯔오부시올리고펩타이드,혈압이 걱정되시는 분에게 도움을 줄 수 있습니다.(기타기능)
가쯔오부시올리고펩타이드,혈압이 걱정되시는 분에게 도움을 줄 수 있습니다.(기타기능)
전칠삼추출물 등 복합물,관절건강에 도움을 줄 수 있음 (기타기능)
L-카르니틴 타르트레이트,체지방 감소에 도움을 줄 수 있음 (기타기능 Ⅱ)
녹차추출물/테아닌 복합물,성인의 기억력 개선에 도움을 줄 수 있으나 인체에서의 확인이 필요함(기타기능)
서목태,- 혈당 조절에 도움을 줄 수 있음 (생리활성기능 2등급) - 혈압이 높은 사람에게 도움을 줄 수 있음 (생리활성기능 2등급) - 체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
허니부쉬추출발효분말,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음
Lactobacillus gasseri BNR17,체지방 감소에 도움을 줄 수 있음(생리활성기능)
루테인지아잔틴복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
아프리카망고 종자추출물,체지방 감소에 도움을 줄 수 있음
유단백추출물,뼈 건강에 도움을 줄 수 있음
천마 등 복합추출물,기억력 개선에 도움을 줄 수 있음
밀배유추출물,피부 보습에 도움을 줄 수 있음
L-아르기닌,혈관이완을 통해 혈행 개선에 도움을 줄 수 있음
프로바이오틱스 HY7714,"피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음 () ,"
미역 등 복합추출물,체지방 감소에 도움을 줄 수 있음
아마인,콜레스테롤 감소에 도움을 줄 수 있음(기타기능 Ⅱ)
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
강황 추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
미숙여주주정추출분말,식후 혈당상승 억제에 도움을 줄 수 있음
갈락토올리고당 분말,자외선에 의한 피부손상으로부터 피부건강에 도움을 줄 수 있음
쑥부쟁이추출분말,면역과민반응에 의한 코 상태 개선에 도움을 줄 수 있음
참깨박추출물,기억력 개선에 도움을 줄 수 있음
저분자콜라겐펩타이드GT,피부 보습에 도움을 줄 수 있음 ()
병풀추출분말,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
증숙생강추출분말,위 점막을 보호하여 위 건강에 도움을 줄 수 있음
댕댕이나무열매,① 비알콜성 간 손상으로부터 간 건강에 도움을 줄 수 있음 ② 체지방 감소에 도움을 줄 수 있음 ① - ②
청호추출분말,간 건강에 도움을 줄 수 있음
홍삼오일,전립선 건강의 유지에 도움을 줄 수 있음
귀리식이섬유,(1) 혈중 콜레스테롤 개선·식후 혈당상승 억제에 도움을 줄 수 있음
난소화성말토덱스트린,(1)기능성 내용 : 식후 혈당상승 억제･혈중 중성지질 개선･배변활동 원활에 도움을 줄 수 있음 (2) 일일섭취량 (가)식후 혈당상승 억제에 도움을 줄 수 있음 : 난소화성말토덱스트린 식이섬유로서 4.0~30 (액상원료는 4.0~44 ) (나)혈중 중성지질 개선에 도움을 줄 수 있음 : 난소화성말토덱스트린 식이섬유로서 5.0~30 (액상원료는 5.0~44 ) (다)배변활동 원활에 도움을 줄 수 있음 : 난소화성말토덱스트린 식이섬유로서 4.2~30 (액상원료는 4.2~44 )
대두식이섬유,① 혈중 콜레스테롤 개선·식후 혈당상승 억제·배변활동 원활에 도움을 줄 수 있음
목이버섯식이섬유,(1) 배변활동 원활에 도움을 줄 수 있음
밀식이섬유,(1) 식후 혈당상승 억제·배변활동 원활에 도움을 줄 수 있음
옥수수겨식이섬유,(1) 혈중 콜레스테롤 개선·식후 혈당상승 억제에 도움을 줄 수 있음
폴리덱스트로스,(1) 배변활동 원활에 도움을 줄 수 있음
코엔자임Q10,(1) 기능성 내용 : 항산화･높은 혈압 감소에 도움을 줄 수 있음
쏘팔메토 열매 추출물,①전립선 건강의 유지에 도움을 줄 수 있음
헤마토코쿠스 추출물,(1) 기능성 내용 : 눈의 피로도 개선에 도움을 줄 수 있음
감마리놀렌산 함유 유지,혈중 콜레스테롤 개선･혈행개선･월경전 변화에 의한 불편한 상태 개선･면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
인삼다당체추출물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
댕댕이나무열매추출분말,비알콜성 간 손상으로부터 간 건강에 도움을 줄 수 있음 -
자몽추출물등 복합물,체지방 감소에 도움을 줄 수 있음
포도과피 효소발효추출물,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
황기추출물 등 복합물,어린이 키성장에 도움을 줄 수 있음
호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급)
참당귀 추출분말,노화로 저하된 인지기능 개선에 도움을 줄 수 있음 관절건강에 도움을 줄 수 있음
L-arabinose,설탕 소화흡수를 완만하게 하여 혈당조절에 도움을 줄 수 있음(생리활성기능 2등급)
비파엽추출물,기억력 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
피니톨,간 건강에 도움을 줄 수 있음
피크노제놀-프랑스해안송껍질추출물<PYCNOGENOL>,-인체에 유해한 활성산소를 제거하는데 도움을 줄 수 있음 -혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하는데 도움을 줄 수 있음 -갱년기 여성의 건강에 도움을 줄 수 있음 - - - ’
이소말토올리고당,장내유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능)배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능)
황금등복합물,관절 건강에 도움을 줄 수 있음
곰피추출물,간 건강에 도움을 줄 수 있음
빌베리 추출물,눈의 피로 개선에 도움을 줄 수 있음
과채유래유산균,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
가시오가피숙지황복합추출물,뼈건강에 도움을 줄 수 있음(생리활성기능 2등급)
동충하초 주정추출물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
Lactobacillus sakei Probio65,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
AP 콜라겐 효소분해 펩타이드,"피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 () ,"
피카오프레토 분말 등 복합물,과민반응에 의한 코 상태 개선에 도움을 줄 수 있음
연어 펩타이드,혈압이 높은 사람에게 도움을 줄 수 있음 (기타기능)
보리 베타글루칸 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
지각상엽 추출 혼합물,혈당 조절에 도움을 줄 수 있음 (기타기능)
크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능 )
창녕양파추출액,혈중 콜레스테롤 개선에 도움을 줄 수 있음 (기타기능 )
크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음
석류농축액,갱년기 여성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음
락토페린,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
루테인지아잔틴복합추출물20%,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
매스틱 검,위 불편감 개선에 도움을 줄 수 있음(생리활성기능 2등급)
유단백가수분해물,수면의 질 개선에 도움을 줄 수 있음
베타글루칸분말,- 면역기능 증진에 도움을 줄 수 있음
발효율피추출분말,체지방 감소에 도움을 줄 수 있음
로즈마리추출물등복합물,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음
사삼추출물,체지방 감소에 도움을 줄 수 있음
열처리녹차추출물,기억력 개선에 도움을 줄 수 있음
아쉬아간다 추출물,수면건강에 도움을 줄 수 있음
흰목이버섯효소분해추출물,노화로 인해 감소된 인지기능 개선에 도움을 줄 수 있음
녹차추출물,(1) 기능성 내용 : 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음
바나바잎 추출물,① 식후 혈당상승 억제에 도움을 줄 수 있음
나토균배양분말,혈행 개선에 도움을 줄 수 있음
지초추출물,피부보습에 도움을 줄 수 있음(기타기능Ⅱ)
히드록시프로필메틸셀룰로오스,식후 혈당상승 억제에 도움을 줄 수 있음 (생리활성기능 2등급)
가시오갈피 등 복합추출물,관절 건강에 도움을 줄 수 있음(기타기능Ⅱ)
상엽추출물,식후혈당 상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
창녕양파추출액,혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
지방산복합물 FAC,관절 건강에 도움을 줄 수 있음
보리 베타글루칸 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있음
정제오징어유,혈행 개선에 도움을 줄 수 있음(기타기능) ·혈중 중성지질 개선에 도움을 줄 수 있음 (기타기능)
자일로올리고당,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능)"
자일로올리고당,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능)"
파크랜 크랜베리 분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능)
해태올리고펩티드,혈압조절에 도움을 줄 수 있음(기타기능)
Green Mate Extract EFLA 920,체지방 감소에 도움을 줄 수 있습니다(기타기능)
아티초크 추출물,담즙분비를 촉진하여 지방 소화에 도움을 줄 수 있음(생리활성기능 2등급)
파크랜 크랜베리 분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
파크랜 크랜베리 분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
닭가슴연골분말,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
오미자추출물,근력 개선에 도움을 줄 수 있음
우슬 등 복합물,관절 및 연골건강에 도움을 줄 수 있음
시서스추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능)
저분자콜라겐펩타이드NS,-자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 -피부보습에 도움을 줄 수 있음
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
로즈마리자몽추출복합물,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
석류농축분말,1. 피부 보습에 도움을 줄 수 있음 2. 자외선에 의한 피부 손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 1. 2.
깻잎추출물,체지방 감소에 도움을 줄 수 있음
Lactobacillus acidophilus YT1,갱년기 여성 건강에 도움을 줄 수 있음
리스펙타,질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음
그린커피빈주정추출물,체지방 감소에 도움을 줄 수 있음
미강주정추출물,수면에 도움을 줄 수 있음
수국잎열수추출물,-피부보습에 도움을 줄 수 있음 -자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 - -
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
모로오렌지추출분말,체지방 감소에 도움을 줄 수 있음
감잎주정추출분말,건조한 눈을 개선하여 눈건강에 도움을 줄 수 있음
크릴오일,관절건강에 도움을 줄 수 있음
가다랑어 엘라스틴 펩타이드,① 피부보습에 도움을 줄 수 있음 ② 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 ① ②
크릴오일,체지방 감소에 도움을 줄 수 있음
옥수수수염·레몬밤추출복합물,체지방 감소에 도움을 줄 수 있음
Bifidobacterium breve B-3 프로바이오틱스,체지방 감소에 도움을 줄 수 있음
저분자 피쉬 콜라겐 펩타이드,① 피부 보습에 도움을 줄 수 있음 ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 ① () ②
다이크로스타키스 글로메라타 추출물,체지방 감소에 도움을 줄 수 있음
L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물,체지방 감소에 도움을 줄 수 있음
크릴오일등복합물,관절건강에 도움을 줄 수 있음
Bacillus coagulans SNZ 1969 프로바이오틱스,배변활동 원활에 도움을 줄 수 있음
삼백초추출물,면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음
콘드로이친 황산염,관절 및 연골 건강에 도움을 줄 수 있음
참나리추출분말,관절건강에 도움을 줄 수 있음
당귤농축분말,① 피부 보습에 도움을 줄 수 있음 ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 ① () ②
타마린드강황주정추출복합물,관절 및 연골 건강에 도움을 줄 수 있음
난각막가수분해물,관절 및 연골 건강에 도움을 줄 수 있음
기장밀추출복합물,모발상태(윤기·탄력) 개선에 도움을 줄 수 있음 (·)
보스웰리아추출물,관절건강에 도움을 줄 수 있음
팔밋올레산 함유 명태,"① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 ① () , ②"
오미자·두충·구기자추출복합물,뼈 건강에 도움을 줄 수 있음
정어리펩타이드 SP100N,혈압을 조절하는데 도움을 줄 수 있음
자일리톨,충치발생 위험 감소에 도움을 줌(치아건강) ( )
참당귀뿌리추출물,노인의 인지능력저하 개선에 도움을 줄 수 있음(기타기능)
포도종자추출물,항산화능 증진에 도움을 줄 수 있음(기타기능)
카제인가수분해물,혈압이 걱정되시는 분에게 도움을 줄 수 있음(기타기능)
올리브잎주정추출물 EFLA943,혈압조절에 도움을 줄 수 있음
솔잎증류농축액,건강한 혈당유지에 도움
콩발효추출물,당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있음(기타기능)
돌외잎추출물,스트레스로 인한 긴장완화에 도움을 줄 수 있음
오미자추출물,갱년기 여성 건강에 도움을 줄 수 있음(생리활성기능 2등급)
레몬 밤 추출물 혼합분말,체지방 감소에 도움을 줄 수 있음 (기타기능)
호로파종자 등 추출복합물,남성의 갱년기 건강에 도움을 줄 수 있음
세리포리아 락세라타 균사체 배양물,혈당조절에 도움을 줄 수 있음
